TCS, Main , Side_1_Route ,Activation_Date,Latitude,Longitude,Count_Date,eight_Peak_Hr_Vehicle_Volume,eight_Peak_Hr_Pedestrian_Volume
549, QUEEN ST E , LEE AVE ,02/26/1951,43.6705000000,-79.2980000000,01-11-2011,15374,3476
550, QUEEN ST E , WINEVA AVE ,10/22/1956,43.6709800000,-79.2957400000,01-27-2009,10618,3167
551, QUEEN ST E , BEECH AVE ,05/30/1955,43.6726900000,-79.2875600000,07-15-2010,9048,2129
552, QUEEN ST W , AUGUSTA AVE ,08/22/1956,43.6480600000,-79.3996600000,07-19-2011,7737,6250
553, QUEEN ST W , NIAGARA ST ,07/23/1963,43.6460200000,-79.4099300000,08-11-2010,7820,1231
554, QUEEN ST W , SHAW ST ,11/22/1948,43.6447400000,-79.4162800000,08-20-2009,11185,2755
555, QUEEN ST W , OSSINGTON AVE ,04/19/1960,43.6442040000,-79.4188620000,03-14-2013,11628,4053
556, QUEEN ST W , DOVERCOURT RD ,02/28/1951,43.6435100000,-79.4224000000,03-14-2012,10043,1734
557, EGLINTON AVE W , FLANDERS RD ,04/25/1995,43.6993109100,-79.4333946700,02-25-2010,17549,344
559, QUEEN ST W , KING ST W ,01/01/1959,43.6387100000,-79.4461900000,01-17-2012,11428,2278
560, THE QUEENSWAY , COLBORNE LODGE DR ,06/24/1958,43.6395300000,-79.4594800000,11-17-2011,14367,642
561, THE QUEENSWAY , ELLIS AVE ,01/01/1967,43.6377700000,-79.4664500000,10-04-2016,16297,455
562, THE QUEENSWAY , WINDERMERE AVE ,01/01/1967,43.6372100000,-79.4698300000,10-04-2016,18547,1446
563, THE QUEENSWAY , STEPHEN DR ,01/01/1957,43.6304100000,-79.4842200000,10-05-2016,19213,324
564, THE QUEENSWAY , PARK LAWN RD ,01/31/1958,43.6290600000,-79.4903100000,10-05-2016,25901,519
565, THE QUEENSWAY , ROYAL YORK RD ,01/31/1958,43.6263500000,-79.5025800000,10-06-2014,23495,1832
566, THE QUEENSWAY , TAYMALL AVE ,08/03/1995,43.6253400000,-79.5072200000,10-15-2013,22298,448
567, THE QUEENSWAY , ISLINGTON AVE ,11/08/1960,43.6236400000,-79.5147800000,12-08-2011,41090,1139
568, THE QUEENSWAY , KIPLING AVE ,01/31/1958,43.6209800000,-79.5267300000,12-02-2014,33000,355
569, VICTORIA PARK AVE , MCNICOLL AVE ,04/09/1975,43.8040900000,-79.3363000000,11-01-2010,15009,596
570, THE QUEENSWAY , ATOMIC AVE ,02/22/1967,43.6177700000,-79.5408500000,09-21-2009,20873,428
571, STRACHAN AVE , FLEET ST ,04/02/1963,43.6362700000,-79.4096100000,01-24-2018,11246,265
572, CHURCH ST , ISABELLA ST ,12/07/1967,43.6683500000,-79.3820300000,11-10-2016,9670,4585
573, PARKSIDE DR , HIGH PARK BLVD ,10/26/1954,43.6449300000,-79.4562600000,11-09-2011,14077,911
574, PARKSIDE DR , HOWARD PARK AVE ,12/03/1953,43.6486600000,-79.4577800000,09-28-2011,14984,583
575, KEELE ST , GLENLAKE AVE ,11/10/1967,43.6583200000,-79.4615000000,06-28-2012,14910,1487
576, KEELE ST , ANNETTE ST ,10/16/1952,43.6636600000,-79.4637500000,04-21-2015,17195,933
577, WESTON RD , BLACK CREEK DR ,01/01/1958,43.6833800000,-79.4802900000,02-15-2018,22850,687
578, WESTON RD , LAMBTON AVE ,01/31/1958,43.6842600000,-79.4840100000,06-04-2009,7904,410
579, WESTON RD , RAY AVE ,04/08/1959,43.6886700000,-79.4941700000,06-03-2009,8253,569
580, WESTON RD , DENISON RD E ,01/31/1958,43.6962400000,-79.5081700000,04-22-2013,6704,458
581, WESTON RD , JOHN ST ,02/10/1959,43.7006300000,-79.5177700000,04-23-2013,6855,1228
582, WESTON RD , LITTLE AVE ,01/31/1958,43.7010500000,-79.5194400000,01-13-2009,9568,1392
583, WESTON RD , CHURCH ST ,01/31/1958,43.7030400000,-79.5253600000,04-22-2013,9201,721
584, WESTON RD , ST PHILLIPS RD ,01/01/1963,43.7063500000,-79.5322900000,06-27-2017,20337,261
585, WESTON RD , 401 C E WESTON RD RAMP ,08/16/1966,43.7118800000,-79.5354500000,11-24-2010,28448,197
586, WESTON RD , 401 C W WESTON RD RAMP ,12/19/1963,43.7148300000,-79.5366500000,12-16-2010,31921,117
587, ALBION RD , WESTON RD ,12/18/1957,43.7169712300,-79.5374868100,05-28-2016,16101,669
588, WESTON RD , SHEPPARD AVE W ,07/21/1961,43.7337600000,-79.5382400000,03-19-2014,19786,450
589, WESTON RD , FINCH AVE W ,10/14/1964,43.7521000000,-79.5424200000,02-21-2013,33275,3092
590, KEELE ST , DONALD AVE ,12/31/1963,43.6849300000,-79.4727800000,04-13-2016,9466,1348
591, KEELE ST , BEECHBOROUGH AVE ,08/30/1962,43.6943600000,-79.4747900000,04-13-2016,11967,274
592, KEELE ST , GULLIVER RD ,02/13/1962,43.6994500000,-79.4759500000,04-18-2016,16893,1689
593, KEELE ST , FLAMBOROUGH DR ,01/30/1961,43.7029300000,-79.4767300000,04-13-2016,14349,676
594, KEELE ST , MAPLE LEAF DR ,08/22/1961,43.7148000000,-79.4794200000,04-07-2016,20077,222
595, KEELE ST , 401 C E KEELE ST RAMP ,10/20/1965,43.7212200000,-79.4809000000,03-08-2016,33776,316
596, KEELE ST , 401 C W KEELE ST RAMP ,10/20/1965,43.7243850000,-79.4815970000,03-08-2016,32531,487
597, KEELE ST , WILSON AVE ,01/31/1958,43.7267020000,-79.4820420000,11-24-2016,37314,3224
598, KEELE ST , TILBURY DR ,02/15/1968,43.7303393000,-79.4829020000,03-08-2016,20253,778
599, KEELE ST , CALVINGTON DR ,10/29/1962,43.7335870000,-79.4836700000,03-08-2016,19865,526
600, KEELE ST , SHEPPARD AVE W ,10/09/1962,43.7447866000,-79.4863240000,01-16-2018,28633,2043
601, FINCH AVE W , KEELE ST ,01/01/1964,43.7634806000,-79.4909760000,02-27-2016,14038,1885
602, STEELES AVE W , KEELE ST ,02/21/1968,43.7815230000,-79.4944950000,05-13-2015,39154,1414
603, AVENUE RD , HEATH ST W ,09/29/1968,43.6887347000,-79.4023110000,04-13-2016,21501,933
604, O CONNOR DR , WAKUNDA PL ,02/05/1968,43.7156200000,-79.3050350000,03-07-2013,10868,637
605, COLLEGE ST , DUFFERIN ST ,11/19/1948,43.6525538000,-79.4325360000,06-11-2016,14803,5131
606, DUFFERIN ST , SYLVAN AVE ,06/06/1963,43.6552105000,-79.4335680000,04-28-2016,10922,378
607, DUFFERIN ST , HALLAM ST ,06/27/1956,43.6658286000,-79.4378860000,04-26-2016,12163,911
608, DUFFERIN ST , DUPONT ST ,10/29/1954,43.6684721000,-79.4390140000,06-11-2016,21475,2644
609, DUFFERIN ST , HOPE ST ,05/02/1968,43.6823708000,-79.4448480000,04-12-2016,12149,551
610, DUFFERIN ST , ROGERS RD ,01/31/1958,43.6855558000,-79.4461040000,04-18-2016,18229,2065
611, DUFFERIN ST , HOLMESDALE RD ,10/20/1966,43.6886280000,-79.4473850000,04-12-2016,12682,469
612, DUFFERIN ST , CASTLEFIELD AVE ,08/04/1965,43.7007517000,-79.4517680000,04-11-2016,22169,1115
613, DUFFERIN ST , GLENCAIRN AVE ,10/25/1957,43.7070021000,-79.4532120000,04-11-2016,19806,1073
614, DUFFERIN ST , ORFUS RD ,03/20/1959,43.7204490000,-79.4561040000,04-11-2016,19721,1334
615, DUFFERIN ST , BENTWORTH AVE ,02/19/1963,43.7217507000,-79.4564130000,03-22-2016,24404,787
616, DUFFERIN ST , BRIDGELAND AVE ,12/13/1963,43.7269726000,-79.4576550000,04-04-2016,27257,249
617, WILSON AVE , DUFFERIN ST ,01/31/1958,43.7320807000,-79.4588970000,04-04-2016,19454,1122
618, DUFFERIN ST , FINCH AVE W ,01/01/1967,43.7688703000,-79.4668980000,12-03-2016,35560,1056
619, STEELES AVE W , DUFFERIN ST ,08/14/1968,43.7872672000,-79.4701230000,12-10-2016,37360,1877
620, DON MILLS RD , OVERLEA BLVD ,01/14/1978,43.7099841000,-79.3343850000,05-20-2015,32000,6014
621, DON MILLS RD , ST DENNIS DR ,07/14/1964,43.7165457000,-79.3372750000,10-21-2010,25442,872
622, REXDALE BLVD , QUEENS PLATE DR ,07/25/1985,43.7191909000,-79.6034700000,04-21-2016,18772,270
623, DON MILLS RD , BARBER GREENE RD ,08/15/1967,43.7276374000,-79.3408130000,03-17-2011,24273,933
624, DON MILLS RD , THE DONWAY E ,11/03/1960,43.7408500000,-79.3444180000,04-21-2011,26186,199
625, DON MILLS RD , THE DONWAY E ,01/01/1958,43.7322510000,-79.3421030000,06-13-2011,22907,452
626, DON MILLS RD , YORK MILLS RD ,05/26/1965,43.7557927000,-79.3470460000,04-04-2016,36703,2306
627, SHEPPARD AVE E , DON MILLS RD ,04/01/1964,43.7750865000,-79.3470300000,06-05-2013,38172,1531
628, DON MILLS RD , VAN HORNE AVE ,06/18/1970,43.7873456000,-79.3530040000,09-30-2009,22979,1507
629, DON MILLS RD , ESTERBROOKE AVE ,11/01/1974,43.7791002000,-79.3487270000,01-16-2018,21140,2285
630, WILSON AVE , WILSON HEIGHTS BLVD ,01/31/1958,43.7345828000,-79.4472000000,04-09-2016,21511,475
631, SHEPPARD AVE W , WILSON HEIGHTS BLVD ,02/01/1962,43.7516592000,-79.4567290000,02-26-2014,32661,2093
632, WILSON HEIGHTS BLVD , WATERLOO AVE ,07/02/1968,43.7553365000,-79.4599200000,12-10-2009,5324,102
633, KEELE ST , GRANDRAVINE DR ,11/12/1968,43.7520138000,-79.4881280000,02-18-2014,11576,237
634, DON MILLS RD , DUNCAN MILL RD ,11/29/1980,43.7617546000,-79.3472210000,03-09-2010,23590,1294
635, LAWRENCE AVE W , PINE ST ,12/08/1968,43.7019656000,-79.5083090000,06-10-2013,12971,1511
636, THE QUEENSWAY , ST LAWRENCE AVE ,09/27/1968,43.6226531000,-79.5190970000,03-28-2011,15888,130
637, WESTON RD , BRADSTOCK RD ,04/09/1968,43.7389792000,-79.5394628000,04-30-2012,12974,1048
638, EGLINTON AVE E , MASON RD ,12/31/1968,43.7417938000,-79.2251560000,12-09-2010,18274,1023
639, YONGE ST , 401 C W YONGE ST S RAMP ,05/24/1966,43.7548400000,-79.4088400000,06-25-2012,42568,10
640, DUNDAS ST W , SORAUREN AVE ,04/05/1969,43.6511963000,-79.4452850000,06-08-2015,13636,608
641, ST CLAIR AVE E , HERRON AVE ,02/20/1969,43.7109681000,-79.2859300000,12-14-2016,16009,331
642, DONLANDS AVE , MILLWOOD RD ,01/01/1962,43.6972100000,-79.3491400000,04-22-2017,19015,141
643, BAYVIEW AVE , POST RD ,01/10/1956,43.7364307000,-79.3819040000,05-09-2011,28651,517
644, BAYVIEW AVE , YORK MILLS RD ,01/01/1957,43.7480641000,-79.3841430000,04-09-2016,26296,482
645, BAYVIEW AVE , FIFE RD ,03/21/1960,43.7548163000,-79.3855270000,03-23-2011,19359,606
646, BAYVIEW AVE , 401 C E BAYVIEW RAMP ,09/14/1965,43.7619212000,-79.3868560000,06-13-2011,34224,116
647, BAYVIEW AVE , 401 C W BAYVIEW RAMP ,12/22/1967,43.7644830000,-79.3873790000,05-17-2011,38081,354
648, SHEPPARD AVE E , BAYVIEW AVE ,09/30/1968,43.7666244000,-79.3880440000,12-02-2015,48835,2161
649, BAYVIEW AVE , CITATION DR ,01/14/1966,43.7743467000,-79.3897970000,06-19-2017,21680,244
650, BAYVIEW AVE , FINCH AVE E ,12/03/1962,43.7849891000,-79.3922350000,06-01-2017,37045,1087
651, BAYVIEW AVE , CUMMER AVE ,03/20/1967,43.7923392000,-79.3936240000,12-06-2017,25686,538
652, STEELES AVE E , BAYVIEW AVE ,03/01/1966,43.8032514000,-79.3963140000,01-30-2018,37327,470
653, BAYVIEW AVE , RUDDINGTON DR ,02/09/1969,43.7880388000,-79.3927350000,03-30-2009,19775,771
654, DAWES RD , SECORD AVE ,08/07/1959,43.6935930000,-79.2972700000,10-26-2009,8060,371
655, DAWES RD , GOWER ST ,01/01/1957,43.7022923000,-79.2969470000,05-17-2012,7243,1177
656, LUMSDEN AVE , MAIN ST ,01/01/1972,43.6948671000,-79.3047470000,01-06-2011,8472,1003
657, COXWELL AVE , SAMMON AVE ,03/21/1960,43.6888200000,-79.3258380000,05-05-2016,9053,2703
658, GREENWOOD AVE , SAMMON AVE ,01/31/1958,43.6868912000,-79.3346920000,01-26-2010,8093,748
659, DONLANDS AVE , SAMMON AVE ,01/01/1960,43.6858360000,-79.3395190000,04-04-2011,7811,894
660, WOODBINE AVE , LUMSDEN AVE ,01/31/1958,43.6927726000,-79.3158550000,10-24-2015,14660,714
661, COXWELL AVE , MORTIMER AVE ,01/31/1958,43.6905966000,-79.3265530000,05-07-2016,12385,947
662, GREENWOOD AVE , MORTIMER AVE ,08/07/1959,43.6886426000,-79.3354430000,01-25-2010,10268,792
663, DONLANDS AVE , MORTIMER AVE ,08/07/1959,43.6876049000,-79.3402280000,02-14-2013,12339,712
664, MORTIMER AVE , PAPE AVE ,01/31/1958,43.6857210000,-79.3476386000,04-22-2017,16061,1819
665, WOODBINE AVE , COSBURN AVE ,01/31/1958,43.6964341000,-79.3174200000,02-21-2013,13743,878
666, COXWELL AVE , COSBURN AVE ,01/31/1958,43.6941379000,-79.3280030000,05-09-2016,13156,1838
667, COSBURN AVE , GREENWOOD AVE ,08/07/1959,43.6920347000,-79.3377230000,08-20-2009,8030,229
668, DONLANDS AVE , COSBURN AVE ,08/07/1959,43.6911338000,-79.3416700000,03-15-2011,13087,462
669, PAPE AVE , COSBURN AVE ,01/31/1958,43.6893922000,-79.3488100000,04-22-2017,13186,7481
670, BATHURST ST , INVERMAY AVE ,12/29/1965,43.7414973000,-79.4350200000,04-07-2015,15664,748
671, BATHURST ST , YORK DOWNS DR ,11/18/1958,43.7472416000,-79.4364560000,03-23-2015,18000,462
672, BATHURST ST , SHEPPARD AVE W ,01/31/1958,43.7554527000,-79.4384520000,03-19-2014,28885,2442
673, BATHURST ST , ELLERSLIE AVE ,07/27/1961,43.7624442000,-79.4401710000,04-01-2015,12940,935
674, BATHURST ST , HORSHAM AVE ,06/01/1965,43.7686039000,-79.4416570000,03-23-2015,17483,170
675, BATHURST ST , FINCH AVE W ,03/20/1962,43.7738567000,-79.4429780000,11-29-2016,35888,6373
676, BATHURST ST , DREWRY AVE ,10/08/1966,43.7810687000,-79.4448100000,03-23-2015,25127,1614
677, BATHURST ST , ROCKFORD RD ,12/29/1966,43.7859380000,-79.4460080000,03-23-2015,21721,1193
678, STEELES AVE W , BATHURST ST ,02/02/1966,43.7924500000,-79.4457140000,03-23-2015,36119,3202
679, OVERLEA BLVD , THORNCLIFFE PARK DR ,01/01/1963,43.7074780000,-79.3436080000,11-29-2017,17874,2479
680, OVERLEA BLVD , THORNCLIFFE PARK DR ,01/01/1963,43.7050110000,-79.3498240000,12-12-2012,14180,2178
681, LAIRD DR , MCRAE DR ,01/01/1957,43.7103760000,-79.3634980000,04-22-2017,15150,1029
682, LAIRD DR , MILLWOOD RD ,01/01/1961,43.7032310000,-79.3605910000,04-22-2017,22733,174
683, MILLWOOD RD , MCRAE DR ,01/01/1963,43.7048030000,-79.3681080000,07-05-2012,7982,976
684, MILLWOOD RD , SUTHERLAND DR ,01/01/1963,43.7035751000,-79.3643727000,10-23-2012,5206,581
685, SOUTHVALE DR , MILLWOOD RD ,01/01/1960,43.7024670000,-79.3615760000,01-07-2017,8873,118
686, MILLWOOD RD , VILLAGE STATION RD ,05/30/1961,43.7019000000,-79.3580900000,01-12-2017,15467,164
687, MILLWOOD RD , OVERLEA BLVD ,05/30/1961,43.7019600000,-79.3528800000,04-22-2017,23732,250
688, PHARMACY AVE , SURREY AVE ,06/15/1966,43.7374184000,-79.3022695000,08-19-2009,11729,933
689, WARDEN AVE , FIRVALLEY CRT ,12/23/1965,43.7036900000,-79.2774800000,05-06-2015,8457,821
690, WARDEN AVE , COMSTOCK RD ,08/19/1964,43.7215184000,-79.2850107000,11-24-2014,16573,763
691, MIDLAND AVE , PROGRESS AVE ,02/14/1968,43.7729800000,-79.2729700000,12-10-2016,19487,227
692, KENNEDY RD , PROGRESS AVE ,09/11/1969,43.7694300000,-79.2822600000,11-15-2012,29981,1487
693, ELLESMERE RD , PHARMACY AVE ,08/13/1959,43.7590889000,-79.3102192000,09-20-2017,24438,1697
694, WARDEN AVE , ELLESMERE RD ,06/09/1963,43.7612700000,-79.3007200000,04-05-2016,38566,1108
695, ELLESMERE RD , BIRCHMOUNT RD ,03/15/1961,43.7634700000,-79.2913700000,04-04-2016,32431,1683
696, KENNEDY RD , ELLESMERE RD ,01/02/1960,43.7658700000,-79.2810900000,04-04-2016,28790,1728
697, ELLESMERE RD , MIDLAND AVE ,12/28/1965,43.7679900000,-79.2711100000,04-02-2016,25211,512
698, ELLESMERE RD , BRIMLEY RD ,07/06/1968,43.7701300000,-79.2612800000,04-04-2016,24054,677
699, MCCOWAN RD , ELLESMERE RD ,12/31/1965,43.7722000000,-79.2514900000,05-02-2015,29600,1601
700, ELLESMERE RD , BELLAMY RD N ,08/30/1968,43.7744200000,-79.2417100000,04-04-2016,20222,840
701, MARKHAM RD , SHEPPARD AVE E ,04/27/1964,43.7939000000,-79.2387600000,04-05-2014,31662,1054
702, MARKHAM RD , ELLESMERE RD ,10/12/1964,43.7764500000,-79.2317400000,03-29-2014,30563,3011
703, MARKHAM RD , BRIMORTON DR ,09/09/1966,43.7735100000,-79.2306600000,04-08-2014,18729,1380
704, MARKHAM RD , GREENCEDAR CRCT ,12/08/1964,43.7578500000,-79.2246900000,04-08-2014,15767,2065
705, ISLINGTON AVE , NORSEMAN ST ,01/01/1958,43.6342100000,-79.5191000000,04-15-2013,19564,856
706, DUNDAS ST W , ISLINGTON AVE ,03/31/1960,43.6514100000,-79.5263900000,05-14-2016,31272,376
707, ISLINGTON AVE , RATHBURN RD ,05/10/1965,43.6624200000,-79.5311600000,04-28-2014,17332,221
708, ISLINGTON AVE , THE KINGSWAY ,01/01/1959,43.6683900000,-79.5338300000,04-24-2014,18172,97
709, EGLINTON AVE W , ISLINGTON AVE ,01/17/1961,43.6798600000,-79.5389800000,04-29-2014,32669,985
710, ISLINGTON AVE , SUMMITCREST DR ,06/01/1967,43.6832000000,-79.5405000000,04-29-2014,16055,214
711, ISLINGTON AVE , THE WESTWAY ,12/30/1963,43.6886400000,-79.5428600000,04-24-2014,20731,546
712, ISLINGTON AVE , 401 C E ISLINGTON RAMP ,12/13/1965,43.7081600000,-79.5517600000,05-28-2014,26521,143
713, ISLINGTON AVE , 401 C W ISLINGTON N RAMP ,12/17/1965,43.7114300000,-79.5532800000,05-28-2014,25740,180
714, REXDALE BLVD , ISLINGTON AVE ,07/19/1960,43.7137700000,-79.5549100000,05-28-2014,20171,91
715, ISLINGTON AVE , BERGAMOT AVE ,08/02/1968,43.7169600000,-79.5559700000,04-26-2014,17107,1120
716, ISLINGTON AVE , ELMHURST DR ,01/23/1964,43.7231800000,-79.5588800000,04-23-2014,16084,1335
717, ISLINGTON AVE , ALBION RD ,01/31/1958,43.7372700000,-79.5653100000,05-25-2016,28222,997
718, REXDALE BLVD , BERGAMOT AVE ,07/08/1968,43.7133600000,-79.5597200000,04-21-2016,14706,309
719, ELLESMERE RD , MORNINGSIDE AVE ,03/09/1968,43.7853500000,-79.1933700000,02-27-2016,17062,1660
720, EGLINTON AVE W , CASTLE KNOCK RD ,07/31/1969,43.7039700000,-79.4116700000,03-21-2012,10687,1811
721, WESTON RD , MCCORMACK ST ,09/18/1969,43.6772500000,-79.4718700000,04-22-2015,16442,270
722, WARDEN AVE , BAMBURGH CRCL ,07/23/1984,43.8116500000,-79.3233900000,01-30-2012,16977,1189
723, ALBION RD , ELMHURST DR ,06/01/1969,43.7251400000,-79.5505100000,05-25-2016,15959,291
724, KIPLING AVE , NORTH QUEEN ST ,12/12/1962,43.6252600000,-79.5284500000,11-01-2017,23183,255
725, KIPLING AVE , NORSEMAN ST ,08/20/1968,43.6315400000,-79.5310200000,01-27-2014,20231,300
726, KIPLING AVE , BURNHAMTHORPE RD ,09/25/1960,43.6510100000,-79.5393300000,12-03-2016,17805,148
727, KIPLING AVE , RATHBURN RD ,10/30/1963,43.6598800000,-79.5432300000,12-02-2014,15208,286
728, KIPLING AVE , PRINCESS MARGARET BLVD ,10/24/1966,43.6701200000,-79.5477300000,12-16-2014,12983,119
729, EGLINTON AVE W , KIPLING AVE ,01/01/1962,43.6772500000,-79.5509000000,09-15-2015,31302,1176
730, KIPLING AVE , THE WESTWAY ,10/08/1964,43.6856400000,-79.5546800000,12-16-2014,15510,579
731, KIPLING AVE , BELFIELD RD ,07/10/1968,43.7049100000,-79.5634700000,05-19-2015,20664,235
732, REXDALE BLVD , KIPLING AVE ,01/31/1958,43.7117300000,-79.5667000000,05-15-2015,32041,1658
733, KIPLING AVE , WESTHUMBER BLVD ,08/19/1965,43.7281400000,-79.5746500000,12-04-2014,9940,981
734, ALBION RD , KIPLING AVE ,08/27/1965,43.7397000000,-79.5803300000,11-29-2014,24839,720
735, THE WEST MALL , EVANS AVE ,12/13/1963,43.6083600000,-79.5586300000,11-26-2016,16464,29
736, LESLIE ST , TALWOOD DR ,11/13/1970,43.7408800000,-79.3574500000,12-20-2010,16088,248
737, LESLIE ST , SOUTHWELL DR ,11/24/1970,43.7460000000,-79.3585000000,11-10-2016,21689,618
738, LESLIE ST , BANNATYNE DR ,09/30/1969,43.7587300000,-79.3612800000,11-08-2016,23421,825
739, SHEPPARD AVE W , WILMINGTON AVE ,01/25/1961,43.7527100000,-79.4519000000,03-03-2014,21079,1444
740, SHEPPARD AVE W , SENLAC RD ,08/18/1966,43.7589700000,-79.4225400000,03-19-2014,13952,390
741, SHEPPARD AVE E , WILLOWDALE AVE ,09/10/1964,43.7640300000,-79.3996800000,03-01-2014,18332,332
742, SHEPPARD AVE E , HAWKSBURY DR ,02/21/1970,43.7678600000,-79.3831400000,06-25-2013,22684,1073
743, SHEPPARD AVE E , BURBANK DR ,10/01/1967,43.7692500000,-79.3766300000,03-01-2014,18538,367
744, SHEPPARD AVE E , LESLIE ST ,03/06/1968,43.7716900000,-79.3641600000,04-18-2017,43601,1803
745, SHEPPARD AVE E , SHAUGHNESSY BLVD ,12/16/1966,43.7737700000,-79.3533300000,06-18-2013,18536,378
746, SHEPPARD AVE E , FAIRVIEW MALL DR ,11/18/1958,43.7762800000,-79.3411200000,06-05-2013,31362,157
747, SHEPPARD AVE E , 404 N SHEPPARD AVE RAMP ,01/01/1980,43.7758900000,-79.3377500000,06-06-2013,37615,327
748, SHEPPARD AVE E , VICTORIA PARK AVE ,11/25/1955,43.7752700000,-79.3230100000,04-05-2014,27789,3263
749, SHEPPARD AVE E , PHARMACY AVE ,02/22/1966,43.7765300000,-79.3177500000,02-03-2018,23952,830
750, SHEPPARD AVE E , WARDEN AVE ,12/16/1964,43.7787500000,-79.3078900000,03-29-2014,27706,2612
751, SHEPPARD AVE E , BIRCHMOUNT RD ,09/12/1964,43.7810900000,-79.2981000000,12-07-2016,27624,2561
752, KENNEDY RD , SHEPPARD AVE E ,01/31/1958,43.7833000000,-79.2882400000,04-05-2014,34649,4037
753, LESLIE ST , 401 C W LESLIE ST RAMP ,03/06/1968,43.7672600000,-79.3636500000,05-20-2015,36440,141
754, LESLIE ST , 401 C E LESLIE ST RAMP ,12/10/1989,43.7638400000,-79.3619200000,06-15-2011,39785,197
755, LESLIE ST , YORK MILLS RD ,02/15/1965,43.7529700000,-79.3599500000,05-03-2014,34929,1102
756, YORK MILLS RD , DVP N YORK MILLS W RAMP ,03/30/1967,43.7589300000,-79.3340300000,03-09-2016,20345,364
757, YORK MILLS RD , FENSIDE DR ,08/24/1965,43.7607000000,-79.3277570000,03-09-2016,15574,1324
758, VICTORIA PARK AVE , 401 C W VICTORIA PR RAMP ,06/09/1965,43.7694720900,-79.3205355500,12-12-2017,27582,28
759, VICTORIA PARK AVE , 401 C E VICTORIA PR RAMP ,06/17/1966,43.7669400000,-79.3191800000,11-24-2010,35267,0
760, WARDEN AVE , 401 C W WARDEN AV RAMP ,08/22/1966,43.7715665300,-79.3048992800,05-05-2015,31051,14
761, WARDEN AVE , 401 C E WARDEN AV S RAMP ,07/06/1968,43.7690300000,-79.3036600000,05-05-2015,31679,13
762, BROWNS LINE , VALERMO DR ,07/27/1965,43.6060424000,-79.5471408000,11-24-2016,19000,116
763, BROWNS LINE , HORNER AVE ,08/04/1960,43.6016900000,-79.5452300000,11-26-2016,15384,542
764, KIPLING AVE , HORNER AVE ,06/27/1962,43.6072200000,-79.5207400000,02-11-2014,16598,699
765, KIPLING AVE , EVANS AVE ,01/19/1961,43.6158900000,-79.5246100000,05-20-2015,27591,1056
766, LAKE SHORE BLVD W , TWENTY SEVENTH ST ,10/27/1972,43.5964300000,-79.5249700000,11-12-2015,10258,1358
767, KIPLING AVE , BIRMINGHAM ST ,08/04/1957,43.6007100000,-79.5180000000,03-13-2013,9660,794
768, EGLINTON AVE E , HOYLE AVE ,08/15/1984,43.7105800000,-79.3796500000,05-09-2011,16650,648
769, ST CLAIR AVE W , NORTHCLIFFE BLVD ,06/23/1981,43.6784500000,-79.4408400000,08-12-2015,7611,2837
770, DWIGHT AVE , BIRMINGHAM ST ,05/15/1964,43.6048500000,-79.4989700000,10-17-2012,3813,488
771, DWIGHT AVE , NEW TORONTO ST ,09/15/1963,43.6081600000,-79.5003400000,10-18-2012,3348,203
772, EGLINTON AVE W , WILLIAM R ALLEN RD S ,08/09/1976,43.6987000000,-79.4364300000,10-22-2012,26562,5466
773, ROYAL YORK RD , MIMICO AVE ,01/31/1958,43.6122600000,-79.4967200000,12-18-2014,6453,895
774, EVANS AVE , HORNER AVE ,12/11/1968,43.6169666800,-79.5188283900,11-26-2016,13910,58
775, ISLINGTON AVE , EVANS AVE ,12/11/1968,43.6184000000,-79.5113300000,11-26-2016,16371,125
776, DUNDAS ST W , PRINCE EDWARD DR N ,02/08/1963,43.6607000000,-79.5104000000,05-12-2016,19911,385
777, DUNDAS ST W , BURNHAMTHORPE RD ,06/04/1959,43.6488000000,-79.5287300000,05-14-2016,20467,1662
778, DUNDAS ST W , SHAVER AVE S ,11/26/1962,43.6321500000,-79.5447700000,03-12-2013,26144,533
779, DUNDAS ST W , POPLAR AVE ,04/08/1972,43.6361300000,-79.5401100000,06-19-2017,24546,1332
780, LAWRENCE AVE W , THE WESTWAY ,08/20/1964,43.6961800000,-79.5327100000,04-16-2016,13369,352
781, EGLINTON AVE W , ROYAL YORK RD ,01/01/1959,43.6823200000,-79.5265600000,04-16-2016,27112,449
782, SCARLETT RD , EAST DR ,10/24/1962,43.6768600000,-79.5059500000,12-03-2016,10743,329
783, SCARLETT RD , EDENBRIDGE DR ,11/19/1968,43.6808100000,-79.5088100000,11-29-2016,12700,156
784, EGLINTON AVE W , SCARLETT RD ,11/27/1970,43.6839300000,-79.5113500000,12-05-2016,27560,931
785, BURNHAMTHORPE RD , MARTIN GROVE RD ,01/26/1967,43.6488100000,-79.5489700000,05-09-2016,15923,369
786, EGLINTON AVE W , MARTIN GROVE RD ,01/01/1960,43.6745100000,-79.5632100000,05-07-2016,30870,705
787, MARTIN GROVE RD , THE WESTWAY ,06/02/1969,43.6833400000,-79.5671200000,05-07-2016,10236,896
788, MARTIN GROVE RD , 401 X W MARTIN GROVE RAMP ,01/01/1966,43.6929200000,-79.5715200000,05-03-2016,13000,36
789, MARTIN GROVE RD , BELFIELD RD ,11/17/1969,43.7019800000,-79.5756000000,05-07-2016,11866,103
790, REXDALE BLVD , MARTIN GROVE RD ,03/12/1963,43.7138800000,-79.5810600000,05-07-2016,21340,486
